"Part";"Value";"Device";"Package";"Description";"";
"IC6";"LT1818CS5#TRMPBF";"LT1818CS5#TRMPBF";"SOT95P280X100-5N";"OP Amp Single Volt Fdbk +/-6.3V/12.6V Automotive 5-Pin TSOT-23 T/R";"";
"IC7";"OPA357AIDBVR";"OPA357AIDBVR";"SOT95P280X145-6N";"Texas Instruments OPA300AIDBVT Op Amp, 150MHz CMOS, Rail to Rail, 3 V, 5 V, 6-Pin SOT-23";"";
"IC8";"OPA820IDBVR";"OPA820IDBVR";"SOT95P280X145-5N";"Unity Gain Stable,Low Noise,Voltage Feedback Operational Amplifier";"";
"IC9";"DAC5571IDBVTG4";"DAC5571IDBVTG4";"SOT95P280X145-6N";"Digital to Analog Converters - DAC Low-power 8-Bit w/hi-speed I2C Input";"";
"IC10";"SN74LVC1G66DBVRE4";"SN74LVC1G66DBVRE4";"SOT95P280X145-5N";"Analogue Switch ICs Single Bilateral Analog Switch";"";
"IC11";"TCA9554DBQR";"TCA9554DBQR";"SOP64P600X175-16N";"Remote 8-Bit I2C and SMBus I/O Expander";"";
"IC12";"DAC5571IDBVTG4";"DAC5571IDBVTG4";"SOT95P280X145-6N";"Digital to Analog Converters - DAC Low-power 8-Bit w/hi-speed I2C Input";"";
"IC13";"LM27762DSST";"LM27762DSST";"SON50P200X300X80-13N";"Low-Noise Positive- and Negative-Output Charge Pump With Integrated LDO";"";
"IC14";"LP2985-33DBVR";"LP2985-33DBVR";"SOT95P280X145-5N";"150-mA Low-noise Low-dropout Regulator With Shutdown";"";
"IC15";"TCA9554DBQR";"TCA9554DBQR";"SOP64P600X175-16N";"Remote 8-Bit I2C and SMBus I/O Expander";"";
"IC16";"SN74LVC2G53DCUR";"SN74LVC2G53DCUR";"SOP50P310X90-8N";"Single Pole, Double-Throw (SPDT) Analog Switch or 2:1 Analog Multiplexer/Demultiplexer";"";
"IC17";"LM4040DELT-2.0";"LM4040DELT-2.0";"SOT65P210X110-3N";"Precision micropower shunt voltage reference";"";
"J1";"73137-5003";"73137-5003";"731375003";"Molex BNC Series Right Angle 50 PCB Mount Bulkhead Fitting BNC Connector, jack, Nickel, Through Hole Termination";"";
"J2";"73137-5003";"73137-5003";"731375003";"Molex BNC Series Right Angle 50 PCB Mount Bulkhead Fitting BNC Connector, jack, Nickel, Through Hole Termination";"";
"J4";"F305-1A7H1-11040-E100";"F305-1A7H1-11040-E100";"F3051A7H111040E100";"Flex Connector, 0.50mm Pitch, Height 2.00mm, Right angle, Flip type, 40 position, With MYLAR";"";
"J5";"PCB.SMAFRA.HT";"PCB.SMAFRA.HT";"PCBSMAFRAHT";"RF Connectors / Coaxial Connectors SMA RA PCB Mount, Jack, Gold, 50 , Through Hole Pin";"";
"R1";"680k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R2";"100k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R3";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R4";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R5";"680";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R6";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R7";"47";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R8";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R9";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R10";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R11";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R12";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R13";"680k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R14";"100k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R15";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R16";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R17";"680";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R18";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R19";"47";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R20";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R21";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R22";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R23";"100";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R24";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R25";"22";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R26";"22";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R27";"4.7k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R28";"4.7k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R29";"22";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R30";"1k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R31";"22";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R32";"1M";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R33";"87k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R34";"87k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R35";"50k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"R36";"50k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - Generic";"";
"S1";"ADG621BRMZ";"ADG621BRMZ";"SOP50P490X110-10N";"ADG621BRMZ, Analogue Switch Dual SPST, 3, 5V, 10-Pin, MSOP";"";
"S2";"ADG621BRMZ";"ADG621BRMZ";"SOP50P490X110-10N";"ADG621BRMZ, Analogue Switch Dual SPST, 3, 5V, 10-Pin, MSOP";"";
"U1";"RASPBERRY_PICOSMD";"RASPBERRY_PICOSMD";"PICO-PKG-SMD";"Raspberry Pi Pico";"";
"U3";"ADC08100CIMTCMTC24";"ADC08100CIMTCMTC24";"MTC24";"";"";
"U4";"TSC2004IRTJRRTJ20_2P7X2P7";"TSC2004IRTJRRTJ20_2P7X2P7";"RTJ20_2P7X2P7";"";"";
"U5";"TLV271CDBVRDBV5";"TLV271CDBVRDBV5";"DBV5";"";"";
"U6";"TLV3501AIDBVRDBV6";"TLV3501AIDBVRDBV6";"DBV6";"";"";
"U7";"AD9833FUNCGEN";"AD9833FUNCGEN";"AD9833FUNCGEN";"";"";
